Jahr,Wasserkraft,Windenergie an Land,Windenergie auf See,Photovoltaik,Solarthermie,Geothermie Umweltwärme,Biomasse Strom,Biomasse Wärme,Gesamt
2000,520,1.920,-,260,440,130,530,900,4.700
2001,340,3.070,-,360,610,180,800,920,6.280
2002,120,3.930,-,680,370,190,770,900,6.960
2003,170,3.360,-,760,480,210,1.340,1.080,7.400
2004,210,2.710,-,3.530,470,290,1.640,1.100,9.950
2005,240,2.490,-,4.840,630,410,1.910,1.510,12.030
2006,220,3.220,-,4.010,990,940,2.270,2.300,13.950
2007,330,2.470,30,5.330,760,920,2.280,1.500,13.620
2008,370,2.540,170,7.970,1.700,1.230,1.980,1.760,17.720
2009,500,2.800,470,13.570,1.490,1.140,2.020,1.610,23.600
2010,350,2.110,450,19.580,990,960,2.240,1.210,27.890
2011,300,2.860,610,15.860,1.060,990,3.120,1.320,26.120
2012,200,3.550,2.440,11.980,950,1.060,790,1.500,22.470
2013,130,4.490,4.270,3.380,860,1.090,700,1.560,16.480
2014,90,7.060,3.940,1.450,790,1.080,670,1.320,16.400
2015,80,5.370,3.680,1.480,800,1.010,220,1.290,13.930
2016,60,6.910,3.370,1.570,700,1.210,270,1.230,15.320
2017,60,7.450,3.400,1.660,540,1.320,280,1.230,15.940
2018,120,3.390,4.100,2.580,490,1.520,390,1.240,13.830
2019,110,1.560,2.130,3.370,440,1.410,350,1.260,10.630
2020,100,2.080,80,4.780,530,1.920,320,1.940,11.750
2021,70,2.840,290,5.230,550,2.530,230,2.730,14.470
2022,60,3.600,1.250,7.880,690,4.560,170,3.710,21.920
